humidity,temperature,subtitude
47,46,0
46,33,0
69,37,0
62,39,0
44,47,0
65,45,0
58,44,0
49,40,0
56,32,0
66,30,0
47,38,0
55,31,0
66,46,0
47,44,0
40,41,0
43,32,0
70,28,0
53,34,0
45,35,0
58,41,0
43,34,0
41,47,0
45,30,0
45,29,0
56,42,0
50,41,0
43,36,0
62,36,0
64,43,0
57,43,0
70,27,0
59,39,0
57,31,0
59,28,0
54,32,0
49,47,0
54,43,0
65,40,0
67,40,0
52,45,0
53,38,0
44,38,0
66,46,0
58,35,0
63,31,0
46,30,0
46,31,0
58,46,0
70,44,0
67,27,0
66,40,0
50,27,0
68,47,0
50,45,0
68,31,0
51,46,0
44,36,0
48,34,0
62,44,0
64,39,0
45,45,0
50,29,0
41,46,0
67,34,0
44,33,0
59,31,0
53,35,0
42,41,0
57,39,0
63,39,0
60,28,0
40,35,0
64,44,0
55,39,0
55,32,0
65,47,0
61,37,0
47,46,0
50,36,0
62,27,0
62,38,0
44,32,0
43,46,0
42,32,0
47,27,0
43,27,0
51,44,0
49,46,0
51,42,0
47,41,0
51,32,0
69,33,0
54,29,0
59,44,0
56,44,0
46,38,0
59,37,0
47,28,0
70,27,0
54,37,0
67,32,0
83,26,0
92,25,0
87,31,0
94,30,0
94,26,0
84,25,0
93,34,0
91,26,0
84,35,0
86,25,0
66,25,0
91,27,0
87,28,0
81,28,0
93,26,0
94,26,0
82,35,0
74,26,0
88,26,0
75,35,0
80,33,0
78,27,0
65,33,0
67,33,0
89,28,0
89,33,0
92,34,0
89,30,0
89,28,0
70,25,0
69,29,0
76,25,0
69,30,0
67,30,0
92,35,0
86,34,0
93,32,0
86,34,0
83,25,0
91,28,0
79,25,0
86,27,0
79,35,0
87,28,0
78,25,0
80,26,0
75,35,0
92,28,0
89,25,0
70,29,0
95,34,0
94,29,0
69,35,0
77,35,0
78,33,0
79,33,0
82,33,0
85,34,0
88,27,0
71,27,0
67,31,0
95,35,0
75,32,0
67,25,0
78,27,0
91,33,0
66,28,0
84,27,0
93,25,0
90,31,0
91,28,0
82,32,0
83,34,0
90,33,0
81,26,0
91,33,0
94,28,0
70,30,0
65,30,0
85,25,0
80,34,0
88,29,0
66,35,0
67,34,0
89,31,0
89,31,0
68,28,0
75,31,0
79,31,0
75,29,0
93,33,0
92,25,0
67,26,0
80,27,0
77,25,0
70,26,0
92,30,0
83,35,0
90,25,0
